Name,Type,Cat,Power,Acc.,PP,
Absorb,GRASS,sp,20,100,25,
Acid,POISON,sp,40,100,30,
Acid Armor,POISON,st,Ñ,Ñ,20,
Agility,PSYCHIC,st,Ñ,Ñ,30,
Amnesia,PSYCHIC,st,Ñ,Ñ,20,
Aurora Beam,ICE,sp,65,100,20,
Barrage,NORMAL,ph,15,85,20,
Barrier,PSYCHIC,st,Ñ,Ñ,20,
Bide,NORMAL,ph,Ñ,Ñ,10,
Bind,NORMAL,ph,15,85,20,
Bite,DARK,ph,60,100,25,
Blizzard,ICE,sp,110,70,5,
Body Slam,NORMAL,ph,85,100,15,
Bone Club,GROUND,ph,65,85,20,
Bonemerang,GROUND,ph,50,90,10,
Bubble,WATER,sp,40,100,30,
Bubble Beam,WATER,sp,65,100,20,
Clamp,WATER,ph,35,85,10,
Comet Punch,NORMAL,ph,18,85,15,
Confuse Ray,GHOST,st,Ñ,100,10,
Confusion,PSYCHIC,sp,50,100,25,
Constrict,NORMAL,ph,10,100,35,
Conversion,NORMAL,st,Ñ,Ñ,30,
Counter,FIGHTING,ph,Ñ,100,20,
Crabhammer,WATER,ph,100,90,10,
Cut,NORMAL,ph,50,95,30,
Defense Curl,NORMAL,st,Ñ,Ñ,40,
Dig,GROUND,ph,80,100,10,
Disable,NORMAL,st,Ñ,100,20,
Dizzy Punch,NORMAL,ph,70,100,10,
Double Kick,FIGHTING,ph,30,100,30,
Double Slap,NORMAL,ph,15,85,10,
Double Team,NORMAL,st,Ñ,Ñ,15,
Double-Edge,NORMAL,ph,120,100,15,
Dragon Rage,DRAGON,sp,Ñ,100,10,
Dream Eater,PSYCHIC,sp,100,100,15,
Drill Peck,FLYING,ph,80,100,20,
Earthquake,GROUND,ph,100,100,10,
Egg Bomb,NORMAL,ph,100,75,10,
Ember,FIRE,sp,40,100,25,
Explosion,NORMAL,ph,250,100,5,
Fire Blast,FIRE,sp,110,85,5,
Fire Punch,FIRE,ph,75,100,15,
Fire Spin,FIRE,sp,35,85,15,
Fissure,GROUND,ph,Ñ,Ñ,5,
Flamethrower,FIRE,sp,90,100,15,
Flash,NORMAL,st,Ñ,100,20,
Fly,FLYING,ph,90,95,15,
Focus Energy,NORMAL,st,Ñ,Ñ,30,
Fury Attack,NORMAL,ph,15,85,20,
Fury Swipes,NORMAL,ph,18,80,15,
Glare,NORMAL,st,Ñ,100,30,
Growl,NORMAL,st,Ñ,100,40,
Growth,NORMAL,st,Ñ,Ñ,40,
Guillotine,NORMAL,ph,Ñ,Ñ,5,
Gust,FLYING,sp,40,100,35,
Harden,NORMAL,st,Ñ,Ñ,30,
Haze,ICE,st,Ñ,Ñ,30,
Headbutt,NORMAL,ph,70,100,15,
High Jump Kick,FIGHTING,ph,130,90,10,
Horn Attack,NORMAL,ph,65,100,25,
Horn Drill,NORMAL,ph,Ñ,Ñ,5,
Hydro Pump,WATER,sp,110,80,5,
Hyper Beam,NORMAL,sp,150,90,5,
Hyper Fang,NORMAL,ph,80,90,15,
Hypnosis,PSYCHIC,st,Ñ,60,20,
Ice Beam,ICE,sp,90,100,10,
Ice Punch,ICE,ph,75,100,15,
Jump Kick,FIGHTING,ph,100,95,10,
Karate Chop,FIGHTING,ph,50,100,25,
Kinesis,PSYCHIC,st,Ñ,80,15,
Leech Life,BUG,ph,80,100,10,
Leech Seed,GRASS,st,Ñ,90,10,
Leer,NORMAL,st,Ñ,100,30,
Lick,GHOST,ph,30,100,30,
Light Screen,PSYCHIC,st,Ñ,Ñ,30,
Lovely Kiss,NORMAL,st,Ñ,75,10,
Low Kick,FIGHTING,ph,Ñ,100,20,
Meditate,PSYCHIC,st,Ñ,Ñ,40,
Mega Drain,GRASS,sp,40,100,15,
Mega Kick,NORMAL,ph,120,75,5,
Mega Punch,NORMAL,ph,80,85,20,
Metronome,NORMAL,st,Ñ,Ñ,10,
Mimic,NORMAL,st,Ñ,Ñ,10,
Minimize,NORMAL,st,Ñ,Ñ,10,
Mirror Move,FLYING,st,Ñ,Ñ,20,
Mist,ICE,st,Ñ,Ñ,30,
Night Shade,GHOST,sp,Ñ,100,15,
Pay Day,NORMAL,ph,40,100,20,
Peck,FLYING,ph,35,100,35,
Petal Dance,GRASS,sp,120,100,10,
Pin Missile,BUG,ph,25,95,20,
Poison Gas,POISON,st,Ñ,90,40,
Poison Powder,POISON,st,Ñ,75,35,
Poison Sting,POISON,ph,15,100,35,
Pound,NORMAL,ph,40,100,35,
Psybeam,PSYCHIC,sp,65,100,20,
Psychic,PSYCHIC,sp,90,100,10,
Psywave,PSYCHIC,sp,Ñ,80,15,
Quick Attack,NORMAL,ph,40,100,30,
Rage,NORMAL,ph,20,100,20,
Razor Leaf,GRASS,ph,55,95,25,
Razor Wind,NORMAL,sp,80,100,10,
Recover,NORMAL,st,Ñ,Ñ,10,
Reflect,PSYCHIC,st,Ñ,Ñ,20,
Rest,PSYCHIC,st,Ñ,Ñ,10,
Roar,NORMAL,st,Ñ,Ñ,20,
Rock Slide,ROCK,ph,75,90,10,
Rock Throw,ROCK,ph,50,90,15,
Rolling Kick,FIGHTING,ph,60,85,15,
Sand Attack,GROUND,st,Ñ,100,15,
Scratch,NORMAL,ph,40,100,35,
Screech,NORMAL,st,Ñ,85,40,
Seismic Toss,FIGHTING,ph,Ñ,100,20,
Self-Destruct,NORMAL,ph,200,100,5,
Sharpen,NORMAL,st,Ñ,Ñ,30,
Sing,NORMAL,st,Ñ,55,15,
Skull Bash,NORMAL,ph,130,100,10,
Sky Attack,FLYING,ph,140,90,5,
Slam,NORMAL,ph,80,75,20,
Slash,NORMAL,ph,70,100,20,
Sleep Powder,GRASS,st,Ñ,75,15,
Sludge,POISON,sp,65,100,20,
Smog,POISON,sp,30,70,20,
Smokescreen,NORMAL,st,Ñ,100,20,
Soft-Boiled,NORMAL,st,Ñ,Ñ,10,
Solar Beam,GRASS,sp,120,100,10,
Sonic Boom,NORMAL,sp,Ñ,90,20,
Spike Cannon,NORMAL,ph,20,100,15,
Splash,NORMAL,st,Ñ,Ñ,40,
Spore,GRASS,st,Ñ,100,15,
Stomp,NORMAL,ph,65,100,20,
Strength,NORMAL,ph,80,100,15,
String Shot,BUG,st,Ñ,95,40,
Struggle,NORMAL,ph,50,100,Ñ,
Stun Spore,GRASS,st,Ñ,75,30,
Submission,FIGHTING,ph,80,80,20,
Substitute,NORMAL,st,Ñ,Ñ,10,
Super Fang,NORMAL,ph,Ñ,90,10,
Supersonic,NORMAL,st,Ñ,55,20,
Surf,WATER,sp,90,100,15,
Swift,NORMAL,sp,60,°,20,
Swords Dance,NORMAL,st,Ñ,Ñ,20,
Tackle,NORMAL,ph,40,100,35,
Tail Whip,NORMAL,st,Ñ,100,30,
Take Down,NORMAL,ph,90,85,20,
Teleport,PSYCHIC,st,Ñ,Ñ,20,
Thrash,NORMAL,ph,120,100,10,
Thunder,ELECTRIC,sp,110,70,10,
Thunder Punch,ELECTRIC,ph,75,100,15,
Thunder Shock,ELECTRIC,sp,40,100,30,
Thunder Wave,ELECTRIC,st,Ñ,90,20,
Thunderbolt,ELECTRIC,sp,90,100,15,
